genres,release_date,count(genres)
Action;Indie,2016-03-25,343
Adventure;Indie,2016-02-29,215
Action;Adventure;Indie,2016-10-04,215
Casual;Indie,2016-10-24,213
Action;Casual;Indie,2016-07-19,167
Adventure;Casual;Indie,2016-01-27,126
Indie,2016-06-13,125
Adventure;Casual,2016-06-22,106
Action,2016-09-13,104
Adventure,2016-01-19,93
Casual,2016-03-11,93
Action;Adventure;Casual;Indie,2016-04-20,85
Casual;Indie;Strategy,2016-07-21,80
Adventure;Indie;RPG,2016-03-23,74
Strategy,2016-01-20,66
Simulation,2016-01-08,56
Action;Adventure;Indie;RPG,2016-10-17,54
Indie;Strategy,2016-07-28,51
Casual;Indie;Simulation,2016-07-28,47
Action;Adventure,2016-11-03,46
"Action;Indie;Early Access",2016-08-16,46
Indie;Simulation;Strategy,2016-10-04,42
Indie;Simulation,2016-08-22,37
RPG,2016-03-08,34
Action;Indie;RPG,2016-02-22,33
Action;Indie;Strategy,2016-12-14,32
Casual;Simulation,2016-01-20,32
Simulation;Strategy,2016-05-09,30
Action;Casual;Indie;Strategy,2016-07-14,30
Action;Indie;Simulation,2016-11-01,24
Indie;RPG;Strategy,2016-04-19,23
Action;Casual;Indie;Simulation,2016-02-23,23
Adventure;Indie;Simulation,2016-06-07,21
Indie;RPG,2016-06-23,21
Adventure;Casual;Indie;RPG,2016-04-22,20
Casual;Indie;Simulation;Strategy,2016-09-13,20
Adventure;Indie;Strategy,2016-06-13,19
Casual;Strategy,2016-05-26,19
"Action;Adventure;Indie;Early Access",2016-03-25,19
Action;Casual,2016-06-15,18
Action;Adventure;Casual;Indie;RPG,2016-01-13,16
Sports,2016-03-08,16
Action;Adventure;Casual,2016-01-20,15
Action;Adventure;Casual;Indie;Strategy,2016-04-22,15
Action;Adventure;Indie;RPG;Strategy,2016-06-07,14
"Action;Free to Play;Indie",2016-09-10,14
Action;Simulation,2016-04-13,14
Action;RPG,2016-11-03,13
Action;Indie;Racing,2016-03-28,13
Action;Indie;Sports,2016-07-12,12
Action;Strategy,2016-04-18,12
"Action;Casual;Indie;Early Access",2016-04-28,12
Simulation;Sports,2016-01-14,12
"Casual;Free to Play;Indie",2016-09-09,12
"Action;Adventure;Indie;RPG;Early Access",2016-01-15,12
Action;Adventure;Indie;Simulation,2016-11-18,12
Action;Adventure;Casual;Indie;Simulation,2016-08-02,12
Casual;Indie;Sports,2016-06-01,12
"Indie;Simulation;Early Access",2016-04-11,12
Action;Adventure;Indie;Strategy,2016-07-15,11
Adventure;Indie;RPG;Strategy,2016-09-09,11
"Action;Indie;Simulation;Early Access",2016-06-23,11
RPG;Strategy,2016-08-30,11
"Adventure;Free to Play;Indie",2016-07-25,11
Racing;Simulation;Sports,2016-01-29,10
Action;Adventure;RPG,2016-09-08,10
Adventure;Casual;Indie;Simulation,2016-03-02,10
"Free to Play;Indie;Strategy",2016-08-23,9
"Simulation;Early Access",2016-05-16,9
"Free to Play",2016-01-15,9
Action;Casual;Indie;Simulation;Strategy,2016-04-04,9
Utilities,2016-03-31,9
"Casual;Indie;Early Access",2016-05-18,9
Action;Adventure;Simulation,2016-08-02,9
Casual;Simulation;Strategy,2016-03-03,9
"Free to Play;Indie",2016-05-31,8
Indie;RPG;Simulation;Strategy,2016-02-26,8
Adventure;RPG,2016-11-10,8
"Action;Early Access",2016-10-21,8
"Indie;Early Access",2016-04-13,8
Racing,2016-11-02,8
"Indie;Simulation;Strategy;Early Access",2016-03-31,8
"Action;Adventure;Casual;Indie;Early Access",2016-04-19,8
"Indie;Strategy;Early Access",2016-04-28,7
Casual;Indie;Racing,2016-05-12,7
Action;Indie;RPG;Strategy,2016-01-12,7
"Action;Indie;RPG;Early Access",2016-04-05,7
"Casual;Indie;Simulation;Early Access",2016-03-23,7
"Casual;Free to Play;Indie;Simulation",2016-01-08,7
"Adventure;Casual;Free to Play",2016-03-14,7
"Action;Adventure;Free to Play;Indie",2016-02-15,7
"Adventure;Indie;Early Access",2016-02-11,7
Action;Casual;Sports,2016-04-28,7
Indie;Simulation;Sports;Strategy,2016-05-03,6
Action;Indie;Simulation;Strategy,2016-01-26,6
Casual;Indie;Simulation;Sports;Strategy,2016-09-09,6
Adventure;Casual;Simulation,2016-11-15,6
"Action;Indie;Racing;Early Access",2016-09-22,6
"Action;Adventure;Indie;Simulation;Early Access",2016-08-16,6
Adventure;Indie;RPG;Simulation,2016-05-20,6
Action;Adventure;Indie;RPG;Simulation,2016-05-03,6
"Action;Indie;Strategy;Early Access",2016-04-29,6
Casual;Indie;RPG,2016-06-03,6
Indie;Simulation;Sports,2016-04-19,6
Casual;Indie;Simulation;Sports,2016-04-28,6
"Adventure;Casual;Free to Play;Indie",2016-04-21,6
Casual;Indie;RPG;Simulation,2016-01-26,6
Casual;Sports,2016-04-05,6
Adventure;Casual;Indie;RPG;Strategy,2016-07-21,6
Casual;Indie;RPG;Strategy,2016-03-16,6
Adventure;Indie;RPG;Simulation;Strategy,2016-02-12,5
Action;Adventure;Indie;Racing,2016-03-03,5
"Action;Free to Play",2016-12-16,5
Action;Adventure;Casual;Indie;RPG;Simulation;Strategy,2016-11-04,5
Adventure;Strategy,2016-05-18,5
"Action;Casual;Free to Play;Indie",2016-07-01,5
"Free to Play;Massively Multiplayer;RPG",2016-03-28,5
"Sexual Content;Nudity;Casual;Indie",2016-04-14,5
"Action;Adventure;Free to Play;Massively Multiplayer;RPG",2016-01-25,5
"Free to Play;Indie;Simulation",2016-06-06,5
Action;Casual;Indie;RPG,2016-09-14,5
Indie;RPG;Simulation,2016-06-06,5
Violent;Action;Indie,2016-05-31,5
"Adventure;Casual;Indie;Early Access",2016-04-01,5
"Adventure;Free to Play;Indie;RPG",2016-04-04,5
Adventure;Casual;Indie;Strategy,2016-12-01,5
"Casual;Free to Play;Indie;Strategy",2016-07-18,5
Action;Sports,2016-03-31,5
Action;Casual;Indie;Racing,2016-04-14,5
"Casual;Free to Play",2016-05-02,5
Violent;Gore;Action;Indie,2016-07-26,5
"Action;Casual;Free to Play;Indie;Strategy",2016-07-08,4
Indie;Racing,2016-03-10,4
Action;Adventure;Indie;Simulation;Strategy,2016-03-04,4
"Casual;Indie;Simulation;Strategy;Early Access",2016-12-05,4
Adventure;Casual;Indie;RPG;Simulation,2016-03-09,4
"Adventure;Free to Play;Massively Multiplayer;RPG",2016-11-29,4
Action;Casual;Indie;Racing;Simulation;Sports,2016-03-07,4
Indie;Sports,2016-04-01,4
Action;Casual;Simulation,2016-08-08,4
Action;Indie;Simulation;Sports,2016-01-26,4
Action;Adventure;Casual;Indie;RPG;Strategy,2016-01-08,4
"Action;Indie;Simulation;Strategy;Early Access",2016-03-18,4
Adventure;Simulation,2016-02-26,4
Action;Adventure;Strategy,2016-05-17,4
"Action;Indie;Simulation;Sports;Early Access",2016-06-14,4
"Action;Casual;Indie;Sports;Early Access",2016-08-04,4
Action;Casual;Indie;Sports,2016-07-07,4
Casual;Simulation;Sports;Strategy,2016-08-09,4
"Sports;Early Access",2016-09-17,4
"Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access",2016-11-03,3
Simulation;Sports;Strategy,2016-03-04,3
"Action;Adventure;Indie;RPG;Simulation;Early Access",2016-04-05,3
Action;Simulation;Strategy,2016-08-10,3
Adventure;Casual;Indie;Simulation;Strategy,2016-02-26,3
"Free to Play;Indie;Massively Multiplayer;RPG",2016-05-06,3
