name,average_playtime
IACTURA,300
"Alpacapaca Dash",301
"Crimson Sword Saga: The Peloran Wars",301
Dungetris,301
"Fake Colours",301
"Frisky Business",301
idleBeer,301
"Neon Space 2",301
"Snail Bob 2: Tiny Troubles",301
"Sumo Revise",301
"The Sun Never Sets",301
"Thea: The Awakening",301
"A SECOND BEFORE US",302
"Across The Moment",302
"Call of Duty: Modern Warfare Remastered",302
"Chaos Town",302
Elems,302
"Evil Glitch",302
"Farming World",302
"Frederic: Evil Strikes Back",302
"Project First Contact",302
"The Jackbox Party Pack 3",302
"Hand of Fate 2",303
"MONOPOLY PLUS",303
"Pretty Girls Mahjong Solitaire",303
"Choice Chamber",304
Coffence,304
"Dynamite Alex",304
"Mission: Escape from Island",304
"Pain Train 2",304
"Timen runner",304
"F1 2015",305
"Gold Rush! 2",305
"Planes Bullets and Vodka",305
"Rock 'N' Roll Defense",305
"9 Clues: The Secret of Serpent Creek",306
Duet,306
"FatherÂ´s Island",306
"Moonbase 332",306
"Mystic Saga",306
"Song of the Deep",306
"Star Phoenix",306
"Teddy Floppy Ear - Mountain Adventure",306
"The Troma Project",306
"Victor Vran ARPG",306
"1953: NATO vs Warsaw Pact",307
Burgers,307
Chimpology,307
"fault - milestone two side:above",307
"Gnumz: Masters of Defense",307
Lepofrenia,307
"Save Home",307
"Spirits of Xanadu",307
"Angels of Fasaria: Version 2.0",308
BRAWL,308
"Confess My Love",308
Cubway,308
Endangered,308
"Escape: VR",308
"It Comes Around - A Kinetic Novel",308
"Late Shift",308
"Pathologic Classic HD",308
"Urizen Shadows of the Cold Deluxe Frosty Edition",308
"We Happy Few",308
"Call of Duty: WWII",309
"Cannons-Defenders: Steam Edition",309
"One Hundred Ways",309
"Pilam Sky",309
Putrefaction,309
"Real Boxingâ„¢",309
"Rogue'n Roll",309
"SINISTRY SILINIUM",309
"MIND: Path to Thalamus Enhanced Edition",310
"Pixel Puzzles: UndeadZ",310
"Tank Blast",310
Oik,311
"One Piece Pirate Warriors 3",311
"Sakura Spirit",311
Clockwise,312
EVERSPACEâ„¢,312
"Hunahpu: way of the Warrior",312
"Kimulator : Fight for your destiny",312
Majotori,312
"Sakura Nova",312
Chowdertwo,313
"Cyber City 2157: The Visual Novel",313
"House Party",313
"New York Mysteries: The Lantern of Souls",313
"Robot Shield",313
MechDefender,314
"Zpeciation: Tough Days (TD)",314
"Civil War: Battle of Petersburg",315
"Construction Simulator 2015",315
"Doug and Lily",315
"Countless Rooms of Death",316
"Dashy Square",316
Displaced,316
"Painted Memories",316
"Albert and Otto",317
Curvatron,317
"Fort Defense",317
"Idol Hands",317
"NEKOPARA Vol. 3",317
"Software Inc.",317
Submerged,317
"Deadly Animal Duel",318
"Momodora III",318
"Ninja Pizza Girl",318
"Soul of the Devil",318
"The Journey: Bob's Story",318
"Ares Omega",319
Bottle,319
Catorize,319
hackmud,319
Interloper,319
"The Maze : Endless nightmare",319
AXYOS,320
"Guilty Gear X2 #Reload",320
"Iron Sea Defenders",320
"METAL GEAR SOLID V: GROUND ZEROES",320
"Sixtieth Kilometer",320
Transformice,320
"Ghost Files: The Face of Guilt",321
Hyposphere,321
"Machine Made: Rebirth",321
MONMUSU,321
"Moon Colonization Project",321
"Space Pilgrim Episode I: Alpha Centauri",321
"Ball of Wonder",322
"Bloop Reloaded",322
Crea,322
"Oh No! Bugs!",322
"Ori and the Blind Forest: Definitive Edition",322
"Shoppe Keep",322
"Sunrider Academy",322
"16bit Trader",323
"Forgotton Anne",323
"Golf With Your Friends",323
"Grow Up",323
"Pixel Dungeon",323
DESYNC,324
"Epistory - Typing Chronicles",324
"Graze Counter",324
"High Octane Drift",324
"Magicians & Looters",324
"12 Labours of Hercules III: Girl Power",325
"Clandestinity of Elsie",325
"Life is Strange 2",325
Repulsanoid,325
"Reversion - The Meeting (2nd Chapter)",325
"Space Pilgrim Episode III: Delta Pavonis",325
TIS-100,325
"Tourists Kidnapped a Little Bear",325
Zotrix,325
"2064: Read Only Memories",326
Antihero,326
"Darksiders Warmastered Edition",326
"Detective Hayseed - Hollywood",326
"Magic Technology",326
"The Purring Quest",326
"Unknown Battle",326
"Hungry Flame",327
"iGrow Game",327
OneShot,327
"Pit People",327
"The Last Patient",327
"To The Capital",327
"Road Works",328
"Always The Same Blue Sky...",329
Snik,329
"Heaven Island - VR MMO",330
"Space Pilgrim Episode II: Epsilon Indi",330
"The Odyssey: Winds of Athena",330
Agony,331
"Biodrone Battle",331
Donuts'n'Justice,331
"Drawful 2",331
DungeonUp,331
"Quantum Break",331
"RPG Maker MV",331
"The Banner Saga 2",331
"AdventureQuest 3D",332
"Dream Dealer",332
"Green Cat",332
ICED,332
"PIXEL ZUMBI",332
"Richard & Alice",332
ROCKETSROCKETSROCKETS,332
"SHENZHEN I/O",332
"Way of Hero",332
Foresight,333
"Gryphon Knight Epic",333
Husk,333
"Master of Orion 1",333
"No Way Out",333
Oknytt,333
"Phoenix Force",333
"Starship Annihilator",333
"Game Corp DX",334
"Guardians of Victoria",334
"Neon Arena",334
"SanctuaryRPG: Black Edition",334
Gunnheim,335
"Hyperdimension Neptunia U: Action Unleashed",335
"Mirt. Tales of the Cold Land. Chapter one",335
"Solitaire Christmas. Match 2 Cards",335
"Space Pilgrim Episode IV: Sol",335
"Bastard Bonds",336
"How To Survive: Third Person Standalone",336
"Blood Feed",337
"Gnomes Garden",337
Ichi,337
"ROD: Revolt Of Defense",337
"Shan Gui (å±±æ¡‚)",337
"Tea Party Simulator 2015â„¢",337
Zzzz-Zzzz-Zzzz,337
Jamsouls,338
"Legion Tale",338
"Life is Hard",338
"Mindless Running",338
"The Adventures of Fluffy",338
"VERSUS SQUAD",338
"Zup! 4",338
"Dead Island Retro Revenge",339
"Lost Base Escape",339
"Dead Rising 4",340
Osteya,340
"SEUM: Speedrunners from Hell",340
"Bloodbath Kavkaz",341
"Cat Quest",341
"Crimson Earth 2",341
Domina,341
Dustwind,341
Formata,341
GALAK-Z,341
"Omega One",341
"World of Warships",341
"A Lenda do HerÃ³i - O HerÃ³i desta CanÃ§Ã£o",342
Battlepaths,342
Keebles,342
"Kingdom Rush Frontiers",342
"Lilly and Sasha: Guardian Angels",342
"MAZE LORD",342
Pillar,342
"The Admin",342
"Umbrella Corpsâ„¢/Biohazard Umbrella Corpsâ„¢",342
"Lethal League Blaze",343
"The Undying Plague",343
"Android John",344
Bacteria,344
Rakuen,344
RoBoRumble,344
"Tales of the Lumminai",344
Zoombinis,344
"Art of War: Red Tides",345
"Kindred Spirits on the Roof",345
"Royal Defense",345
"Emporea: Realms of War and Magic",346
Klabi,346
"Peace Death!",346
"Rento Fortune - Online Dice Board Game",346
"Shotgun Raiders",346
"Velocity 2X",346
"1 Moment Of Time: Silentville",347
"Airstrike HD",347
"Block N Load",347
"200% Mixed Juice!",348
"Crimzon Clover WORLD IGNITION",348
"Human: Fall Flat",348
"Invisible Mind",348
"Kung Fury: Street Rage",348
"Miner Mayhem",348
"The Vagrant",348
"Dragon Kingdom War",349
"Zombie Wars: Invasion",349
"There's Poop In My Soup",350
"Weapon Shop Fantasy",350
"Gems of the Aztecs",351
"Omensight: Definitive Edition",351
"VR Journey",351
"Ahnayro: The Dream World",352
"Battlefleet Gothic: Armada 2",352
"Blaster Shooter GunGuy!",352
"Eon Altar",352
"Malavision: The Origin",352
"Showing Tonight: Mindhunters Incident",352
Aberoth,354
"Game Tycoon 2",354
Minimalism,355
Apokalypsis,356
"Diadra Empty",356
"Acceleration of SUGURI 2",357
"Lost Moon",357
"The Turing Test",357
"Gold Rush! Anniversary",358
Shadowgate,358
"Cho Dengeki Stryker All Ages Version",359
Isbarah,359
"Tales of the Orient: The Rising Sun",359
"Tank Force",359
"Through Abandoned: The Underground City",359
"Super Mega Baseball: Extra Innings",360
"Seasons after Fall",361
"Pavlov VR",362
"Doodle God",363
"Executive Assault",363
"Khet 2.0",363
"Metro: Last Light Redux",363
"Bad Dream: Coma",364
DEADBOLT,364
"Love Ribbon",364
"Polygon Attack",364
"The Rainy Port Keelung é›¨æ¸¯åŸºéš†",364
"Caladrius Blaze",365
Cobalt,365
Plantera,365
"Potatoman Seeks the Troof",365
QuestRun,365
"Eastwood VR",366
Infinitum,366
"Multishop Tycoon Deluxe",366
Vapour,366
"BATTLE PIXELS",367
"fault - milestone one",367
"Heaven Forest - VR MMO",367
"Zotrix - Solar Division",367
"3 Coins At School",368
Block'hood,368
Cubicity,368
Negligee,368
"Neon Drive",368
Princess.Loot.Pixel.Again,368
"The Construct",368
"Among the Innocent: A Stricken Tale",369
"Stay Alight",369
"3 Stars of Destiny",370
"FATE: The Cursed King",370
"Crash Drive 2",371
"Sally Face",371
Orczz,372
"Paper Dungeons",372
"Pixel Puzzles: Japan",372
"Rhythm Rush!",372
"Demon Horde Master",373
"Mad Combat Marines",373
"Yet Another World",373
Deepworld,374
Inverted,374
"Knight Adventure",374
"Sine Mora EX",374
"Tanks vs Aliens",374
"Halloween Mysteries",375
"Mages of Mystralia",375
"Infestation: The New Z",376
Adorables,377
"Axiom Verge",377
"Royal Heroes",377
"Hand of the Gods",378
"Gloria Victis",379
Squarelands,379
Stargazer,379
"Construct: Escape the System",381
"EARTH'S DAWN",381
"Minion Masters",381
"THE KING OF FIGHTERS XIV STEAM EDITION",381
"Woodle Tree 2: Worlds",381
"Fishing: Barents Sea",382
"High On Racing",382
"Age of Gladiators",383
"Jet Racing Extreme: The First Encounter",383
"Legend (1994)",383
Prismata,384
"Pro Gamer Manager",384
Z.I.O.N.,384
#KILLALLZOMBIES,385
"Batman - The Telltale Series",385
eden*,385
"NEON STRUCT",385
"Dead End Junction",386
"Final Dusk",386
"Killing Room",386
"Wizard of Legend",386
Alchemyland,387
Detention,387
Dropzone,387
"Slide Ride Arcade",387
"Alone K.W.",388
"Faerie Solitaire Remastered",388
SquareCells,388
"SteamWorld Heist",388
"Super Duper Party Pooper",388
"Silver Knight",389
